,0
0,Bream
1,Bream
2,Bream
3,Bream
4,Bream
5,Bream
6,Bream
7,Bream
8,Bream
9,Bream
10,Bream
11,Bream
12,Bream
13,Bream
14,Bream
15,Bream
16,Bream
17,Bream
18,Bream
19,Bream
20,Bream
21,Bream
22,Bream
23,Bream
24,Bream
25,Bream
26,Bream
27,Bream
28,Bream
29,Bream
30,Bream
31,Bream
32,Bream
33,Bream
34,Roach
35,Roach
36,Roach
37,Roach
38,Roach
39,Roach
40,Roach
41,Roach
42,Roach
43,Roach
44,Roach
45,Roach
46,Roach
47,Roach
48,Roach
49,Roach
50,Roach
51,Roach
52,Roach
53,Roach
54,Smelt
55,Smelt
56,Smelt
57,Smelt
58,Smelt
59,Smelt
60,Smelt
61,Smelt
62,Smelt
63,Smelt
64,Smelt
65,Smelt
66,Smelt
67,Smelt
68,Pike
69,Pike
70,Pike
71,Pike
72,Pike
73,Pike
74,Pike
75,Pike
76,Pike
77,Pike
78,Pike
79,Pike
80,Pike
81,Pike
82,Pike
83,Pike
84,Pike
