,0
0,Kama wheat
1,Kama wheat
2,Kama wheat
3,Kama wheat
4,Kama wheat
5,Kama wheat
6,Kama wheat
7,Kama wheat
8,Kama wheat
9,Kama wheat
10,Kama wheat
11,Kama wheat
12,Kama wheat
13,Kama wheat
14,Kama wheat
15,Kama wheat
16,Kama wheat
17,Kama wheat
18,Kama wheat
19,Kama wheat
20,Kama wheat
21,Kama wheat
22,Kama wheat
23,Kama wheat
24,Kama wheat
25,Kama wheat
26,Kama wheat
27,Kama wheat
28,Kama wheat
29,Kama wheat
30,Kama wheat
31,Kama wheat
32,Kama wheat
33,Kama wheat
34,Kama wheat
35,Kama wheat
36,Kama wheat
37,Kama wheat
38,Kama wheat
39,Kama wheat
40,Kama wheat
41,Kama wheat
42,Kama wheat
43,Kama wheat
44,Kama wheat
45,Kama wheat
46,Kama wheat
47,Kama wheat
48,Kama wheat
49,Kama wheat
50,Kama wheat
51,Kama wheat
52,Kama wheat
53,Kama wheat
54,Kama wheat
55,Kama wheat
56,Kama wheat
57,Kama wheat
58,Kama wheat
59,Kama wheat
60,Kama wheat
61,Kama wheat
62,Kama wheat
63,Kama wheat
64,Kama wheat
65,Kama wheat
66,Kama wheat
67,Kama wheat
68,Kama wheat
69,Kama wheat
70,Rosa wheat
71,Rosa wheat
72,Rosa wheat
73,Rosa wheat
74,Rosa wheat
75,Rosa wheat
76,Rosa wheat
77,Rosa wheat
78,Rosa wheat
79,Rosa wheat
80,Rosa wheat
81,Rosa wheat
82,Rosa wheat
83,Rosa wheat
84,Rosa wheat
85,Rosa wheat
86,Rosa wheat
87,Rosa wheat
88,Rosa wheat
89,Rosa wheat
90,Rosa wheat
91,Rosa wheat
92,Rosa wheat
93,Rosa wheat
94,Rosa wheat
95,Rosa wheat
96,Rosa wheat
97,Rosa wheat
98,Rosa wheat
99,Rosa wheat
100,Rosa wheat
101,Rosa wheat
102,Rosa wheat
103,Rosa wheat
104,Rosa wheat
105,Rosa wheat
106,Rosa wheat
107,Rosa wheat
108,Rosa wheat
109,Rosa wheat
110,Rosa wheat
111,Rosa wheat
112,Rosa wheat
113,Rosa wheat
114,Rosa wheat
115,Rosa wheat
116,Rosa wheat
117,Rosa wheat
118,Rosa wheat
119,Rosa wheat
120,Rosa wheat
121,Rosa wheat
122,Rosa wheat
123,Rosa wheat
124,Rosa wheat
125,Rosa wheat
126,Rosa wheat
127,Rosa wheat
128,Rosa wheat
129,Rosa wheat
130,Rosa wheat
131,Rosa wheat
132,Rosa wheat
133,Rosa wheat
134,Rosa wheat
135,Rosa wheat
136,Rosa wheat
137,Rosa wheat
138,Rosa wheat
139,Rosa wheat
140,Canadian wheat
141,Canadian wheat
142,Canadian wheat
143,Canadian wheat
144,Canadian wheat
145,Canadian wheat
146,Canadian wheat
147,Canadian wheat
148,Canadian wheat
149,Canadian wheat
150,Canadian wheat
151,Canadian wheat
152,Canadian wheat
153,Canadian wheat
154,Canadian wheat
155,Canadian wheat
156,Canadian wheat
157,Canadian wheat
158,Canadian wheat
159,Canadian wheat
160,Canadian wheat
161,Canadian wheat
162,Canadian wheat
163,Canadian wheat
164,Canadian wheat
165,Canadian wheat
166,Canadian wheat
167,Canadian wheat
168,Canadian wheat
169,Canadian wheat
170,Canadian wheat
171,Canadian wheat
172,Canadian wheat
173,Canadian wheat
174,Canadian wheat
175,Canadian wheat
176,Canadian wheat
177,Canadian wheat
178,Canadian wheat
179,Canadian wheat
180,Canadian wheat
181,Canadian wheat
182,Canadian wheat
183,Canadian wheat
184,Canadian wheat
185,Canadian wheat
186,Canadian wheat
187,Canadian wheat
188,Canadian wheat
189,Canadian wheat
190,Canadian wheat
191,Canadian wheat
192,Canadian wheat
193,Canadian wheat
194,Canadian wheat
195,Canadian wheat
196,Canadian wheat
197,Canadian wheat
198,Canadian wheat
199,Canadian wheat
200,Canadian wheat
201,Canadian wheat
202,Canadian wheat
203,Canadian wheat
204,Canadian wheat
205,Canadian wheat
206,Canadian wheat
207,Canadian wheat
208,Canadian wheat
209,Canadian wheat
