,0
0,Albania
1,Armenia
2,Australia
3,Austria
4,Azerbaijan
5,Belarus
6,Belgium
7,Bosnia & Herzegovina
8,Bulgaria
9,Croatia
10,Cyprus
11,Czech Republic
12,Denmark
13,Estonia
14,F.Y.R. Macedonia
15,Finland
16,France
17,Georgia
18,Germany
19,Greece
20,Hungary
21,Iceland
22,Ireland
23,Israel
24,Italy
25,Latvia
26,Lithuania
27,Malta
28,Moldova
29,Montenegro
30,Norway
31,Poland
32,Russia
33,San Marino
34,Serbia
35,Slovenia
36,Spain
37,Sweden
38,Switzerland
39,The Netherlands
40,Ukraine
41,United Kingdom
