,0
0,Kama wheat
1,Kama wheat
2,Kama wheat
3,Kama wheat
4,Kama wheat
5,Kama wheat
6,Kama wheat
7,Kama wheat
8,Kama wheat
9,Kama wheat
10,Kama wheat
11,Kama wheat
12,Kama wheat
13,Kama wheat
14,Rosa wheat
15,Rosa wheat
16,Rosa wheat
17,Rosa wheat
18,Rosa wheat
19,Rosa wheat
20,Rosa wheat
21,Rosa wheat
22,Rosa wheat
23,Rosa wheat
24,Rosa wheat
25,Rosa wheat
26,Rosa wheat
27,Rosa wheat
28,Canadian wheat
29,Canadian wheat
30,Canadian wheat
31,Canadian wheat
32,Canadian wheat
33,Canadian wheat
34,Canadian wheat
35,Canadian wheat
36,Canadian wheat
37,Canadian wheat
38,Canadian wheat
39,Canadian wheat
40,Canadian wheat
41,Canadian wheat
