,0
0,Massive Attack
1,Sublime
2,Beastie Boys
3,Neil Young
4,Dead Kennedys
5,Orbital
6,Miles Davis
7,Leonard Cohen
8,Van Morrison
9,NOFX
10,Rancid
11,Lamb
12,Korn
13,Dropkick Murphys
14,Bob Dylan
15,Eminem
16,Nirvana
17,Van Halen
18,Damien Rice
19,Elvis Costello
20,Everclear
21,Jimi Hendrix
22,PJ Harvey
23,Red Hot Chili Peppers
24,Ryan Adams
25,Soundgarden
26,The White Stripes
27,Madonna
28,Eric Clapton
29,Bob Marley
30,Dr. Dre
31,The Flaming Lips
32,Tom Waits
33,Moby
34,Cypress Hill
35,Garbage
36,Fear Factory
37,50 Cent
38,Ani DiFranco
39,Matchbox Twenty
40,The Police
41,Eagles
42,Phish
43,Stone Temple Pilots
44,Black Sabbath
45,Britney Spears
46,Fatboy Slim
47,System of a Down
48,Simon & Garfunkel
49,Snoop Dogg
50,Aimee Mann
51,Less Than Jake
52,Rammstein
53,Reel Big Fish
54,The Prodigy
55,Pantera
56,Foo Fighters
57,The Beatles
58,Incubus
59,Audioslave
60,Bright Eyes
61,Machine Head
62,AC/DC
63,Dire Straits
64,Moțrhead
65,Ramones
66,Slipknot
67,Me First and the Gimme Gimmes
68,Bruce Springsteen
69,Queens of the Stone Age
70,The Chemical Brothers
71,Bon Jovi
72,Goo Goo Dolls
73,Alice in Chains
74,Howard Shore
75,Barenaked Ladies
76,Anti-Flag
77,Nick Cave and the Bad Seeds
78,Static-X
79,Misfits
80,2Pac
81,Sparta
82,Interpol
83,The Crystal Method
84,The Beach Boys
85,Goldfrapp
86,Bob Marley & the Wailers
87,Kylie Minogue
88,The Blood Brothers
89,Mirah
90,Ludacris
91,Snow Patrol
92,The Mars Volta
93,Yeah Yeah Yeahs
94,Iced Earth
95,Fiona Apple
96,Rilo Kiley
97,Rufus Wainwright
98,Flogging Molly
99,Hot Hot Heat
100,Dredg
101,Switchfoot
102,Tegan and Sara
103,Rage Against the Machine
104,Keane
105,Jet
106,Franz Ferdinand
107,The Postal Service
108,The Dresden Dolls
109,The Killers
110,Death From Above 1979
